番号区画コード,MA,番号,市外局番,市内局番,事業者,使用状況,備考
001,札幌,011337,011,337,,未使用,
001,札幌,011338,011,338,,未使用,
001,札幌,011339,011,339,,未使用,
001,札幌,011340,011,340,,未使用,
001,札幌,011341,011,341,,未使用,
001,札幌,011342,011,342,,未使用,
001,札幌,011343,011,343,,未使用,
001,札幌,011344,011,344,,未使用,
001,札幌,011345,011,345,,未使用,
001,札幌,011346,011,346,,未使用,
001,札幌,011347,011,347,,未使用,
001,札幌,011348,011,348,,未使用,
001,札幌,011349,011,349,,未使用,
001,札幌,011350,011,350,エヌ・ティ・ティ・コミュニケーションズ株式会社,使用中,
001,札幌,011351,011,351,エヌ・ティ・ティ・コミュニケーションズ株式会社,使用中,
001,札幌,011352,011,352,,未使用,
001,札幌,011353,011,353,,未使用,
001,札幌,011354,011,354,,未使用,
001,札幌,011355,011,355,,未使用,
001,札幌,011356,011,356,,未使用,
001,札幌,011357,011,357,,未使用,
001,札幌,011358,011,358,,未使用,
001,札幌,011359,011,359,,未使用,
001,札幌,011360,011,360,,未使用,
001,札幌,011361,011,361,,未使用,
001,札幌,011362,011,362,,未使用,
001,札幌,011363,011,363,,未使用,
001,札幌,011364,011,364,,未使用,
001,札幌,011365,011,365,,未使用,
001,札幌,011366,011,366,,未使用,
001,札幌,011367,011,367,,未使用,
001,札幌,011368,011,368,,未使用,
001,札幌,011369,011,369,,未使用,
001,札幌,011370,011,370,東日本電信電話株式会社,使用中,
001,札幌,011371,011,371,,未使用,
001,札幌,011372,011,372,東日本電信電話株式会社,使用中,
001,札幌,011373,011,373,東日本電信電話株式会社,使用中,
001,札幌,011374,011,374,東日本電信電話株式会社,使用中,
001,札幌,011375,011,375,東日本電信電話株式会社,使用中,
001,札幌,011376,011,376,東日本電信電話株式会社,使用中,
001,札幌,011377,011,377,東日本電信電話株式会社,使用中,
001,札幌,011378,011,378,東日本電信電話株式会社,使用中,
001,札幌,011379,011,379,,未使用,
001,札幌,011380,011,380,東日本電信電話株式会社,使用中,
001,札幌,011381,011,381,東日本電信電話株式会社,使用中,
001,札幌,011382,011,382,東日本電信電話株式会社,使用中,
001,札幌,011383,011,383,東日本電信電話株式会社,使用中,
001,札幌,011384,011,384,東日本電信電話株式会社,使用中,
001,札幌,011385,011,385,東日本電信電話株式会社,使用中,
001,札幌,011386,011,386,東日本電信電話株式会社,使用中,
001,札幌,011387,011,387,東日本電信電話株式会社,使用中,
001,札幌,011388,011,388,東日本電信電話株式会社,使用中,
001,札幌,011389,011,389,東日本電信電話株式会社,使用中,
001,札幌,011390,011,390,,未使用,
001,札幌,011391,011,391,東日本電信電話株式会社,使用中,
001,札幌,011392,011,392,,未使用,
001,札幌,011393,011,393,,未使用,
001,札幌,011394,011,394,,未使用,
001,札幌,011395,011,395,,未使用,
001,札幌,011396,011,396,,未使用,
001,札幌,011397,011,397,,未使用,
001,札幌,011398,011,398,東日本電信電話株式会社,使用中,
001,札幌,011399,011,399,,未使用,
001,札幌,011400,011,400,,未使用,
001,札幌,011401,011,401,,未使用,
001,札幌,011402,011,402,,未使用,
001,札幌,011403,011,403,,未使用,
001,札幌,011404,011,404,,未使用,
001,札幌,011405,011,405,,未使用,
001,札幌,011406,011,406,,未使用,
001,札幌,011407,011,407,,未使用,
001,札幌,011408,011,408,,未使用,
001,札幌,011409,011,409,,未使用,
001,札幌,011410,011,410,,未使用,
001,札幌,011411,011,411,,未使用,
001,札幌,011412,011,412,,未使用,
001,札幌,011413,011,413,,未使用,
001,札幌,011414,011,414,,未使用,
001,札幌,011415,011,415,,未使用,
001,札幌,011416,011,416,,未使用,
001,札幌,011417,011,417,,未使用,
001,札幌,011418,011,418,,未使用,
001,札幌,011419,011,419,,未使用,
001,札幌,011420,011,420,,未使用,
001,札幌,011421,011,421,,未使用,
001,札幌,011422,011,422,,未使用,
001,札幌,011423,011,423,,未使用,
001,札幌,011424,011,424,,未使用,
001,札幌,011425,011,425,,未使用,
001,札幌,011426,011,426,,未使用,
001,札幌,011427,011,427,,未使用,
001,札幌,011428,011,428,,未使用,
001,札幌,011429,011,429,,未使用,
001,札幌,011430,011,430,,未使用,
001,札幌,011431,011,431,,未使用,
001,札幌,011432,011,432,,未使用,
001,札幌,011433,011,433,,未使用,
001,札幌,011434,011,434,,未使用,
001,札幌,011435,011,435,,未使用,
001,札幌,011436,011,436,,未使用,
001,札幌,011437,011,437,,未使用,
001,札幌,011438,011,438,,未使用,
001,札幌,011439,011,439,,未使用,
001,札幌,011440,011,440,,未使用,
001,札幌,011441,011,441,,未使用,
001,札幌,011442,011,442,,未使用,
001,札幌,011443,011,443,,未使用,
001,札幌,011444,011,444,,未使用,
001,札幌,011445,011,445,,未使用,
001,札幌,011446,011,446,,未使用,
001,札幌,011447,011,447,,未使用,
001,札幌,011448,011,448,,未使用,
001,札幌,011449,011,449,,未使用,
001,札幌,011450,011,450,,未使用,
001,札幌,011451,011,451,,未使用,
001,札幌,011452,011,452,,未使用,
001,札幌,011453,011,453,,未使用,
001,札幌,011454,011,454,,未使用,
001,札幌,011455,011,455,,未使用,
001,札幌,011456,011,456,,未使用,
001,札幌,011457,011,457,,未使用,
001,札幌,011458,011,458,,未使用,
001,札幌,011459,011,459,,未使用,
001,札幌,011460,011,460,,未使用,
001,札幌,011461,011,461,,未使用,
001,札幌,011462,011,462,,未使用,
001,札幌,011463,011,463,,未使用,
001,札幌,011464,011,464,,未使用,
001,札幌,011465,011,465,,未使用,
001,札幌,011466,011,466,,未使用,
001,札幌,011467,011,467,,未使用,
001,札幌,011468,011,468,,未使用,
001,札幌,011469,011,469,,未使用,
001,札幌,011470,011,470,,未使用,
001,札幌,011471,011,471,,未使用,
001,札幌,011472,011,472,,未使用,
001,札幌,011473,011,473,,未使用,
001,札幌,011474,011,474,,未使用,
001,札幌,011475,011,475,,未使用,
001,札幌,011476,011,476,,未使用,
001,札幌,011477,011,477,,未使用,
001,札幌,011478,011,478,,未使用,
001,札幌,011479,011,479,,未使用,
001,札幌,011480,011,480,,未使用,
001,札幌,011481,011,481,,未使用,
001,札幌,011482,011,482,,未使用,
001,札幌,011483,011,483,,未使用,
001,札幌,011484,011,484,,未使用,
001,札幌,011485,011,485,,未使用,
001,札幌,011486,011,486,,未使用,
001,札幌,011487,011,487,,未使用,
001,札幌,011488,011,488,,未使用,
001,札幌,011489,011,489,,未使用,
001,札幌,011490,011,490,,未使用,
001,札幌,011491,011,491,,未使用,
001,札幌,011492,011,492,,未使用,
001,札幌,011493,011,493,,未使用,
001,札幌,011494,011,494,,未使用,
001,札幌,011495,011,495,,未使用,
001,札幌,011496,011,496,,未使用,
001,札幌,011497,011,497,,未使用,
001,札幌,011498,011,498,,未使用,
001,札幌,011499,011,499,,未使用,
001,札幌,011500,011,500,ソフトバンク株式会社,使用中,
001,札幌,011501,011,501,ソフトバンク株式会社,使用中,
001,札幌,011502,011,502,,未使用,
001,札幌,011503,011,503,,未使用,
001,札幌,011504,011,504,,未使用,
001,札幌,011505,011,505,,未使用,
001,札幌,011506,011,506,,未使用,
001,札幌,011507,011,507,,未使用,
001,札幌,011508,011,508,,未使用,
001,札幌,011509,011,509,,未使用,
001,札幌,011510,011,510,,未使用,
001,札幌,011511,011,511,東日本電信電話株式会社,使用中,
001,札幌,011512,011,512,東日本電信電話株式会社,使用中,
001,札幌,011513,011,513,東日本電信電話株式会社,使用中,
001,札幌,011514,011,514,,未使用,
001,札幌,011515,011,515,,未使用,
001,札幌,011516,011,516,,未使用,
001,札幌,011517,011,517,,未使用,
001,札幌,011518,011,518,東日本電信電話株式会社,使用中,
001,札幌,011519,011,519,,未使用,
001,札幌,011520,011,520,東日本電信電話株式会社,使用中,
